,date,hour,tweet,linea,estacion
98,07/Nov/2019,21:52:49,"Vamos a hacer famosos a estos empleados del metro que hacen uso de su prepotencia para entrar a fuerzas a la parte de mujeres

@MetroCDMX @Claudiashein @GobCDMX @FirenzeM
@OphCourse @LBallesterosM @MawSaldivar @almaldo2 @LuRiojas @lydiacachosi @Jacquie_LHoist @kdartigues https://t.co/Ew7Gc7gHL4 https://t.co/GRgJ7BJDmx",,
99,07/Nov/2019,21:53:31,😑😑😑 no se mueve el metro en Balderas @MetroCDMX  atsilioooo,linea1 ,Balderas Balderas 
100,07/Nov/2019,21:54:34,Mira @MetroCDMX 🙄 https://t.co/qORYt8cmYB,,
101,07/Nov/2019,21:55:12,@MetroCDMX Si mencionen que pasó en la línea 3  ya lleva más de 10 minutos detenido el metro!!! @MetroCDMX,3 ,
102,07/Nov/2019,21:55:37,"@MetroCDMX que pasa en la l3 super lento, y ahora no llueve ñ, cual es el pretexto",l3 ,
103,07/Nov/2019,21:55:58,Esto está horrible.,,
104,07/Nov/2019,21:56:07,Después de 10 minutos se movió!,,
105,07/Nov/2019,21:56:22,"@MetroCDMX A ver, la hora en la que me levanté a ti no te interesa, por lo que estoy inconforme es por el servicio ineficiente que tenemos  en el sistema metro,  a que me refiero diario hay una falla se atreven a poner 4 min. De retraso cuando en la estación esperas 15, no seas ridículo",4 ,
106,07/Nov/2019,21:56:33,"@VILLALVAZO13 @MetroCDMX @HMeridiano @AztecaNoticias @AztecaUno Y luego es corriente directa, que irresponsabilidad tan grande.",,
107,07/Nov/2019,21:57:11,"@MetroCDMX Jajajaja, diario veo a ambulantaje....y a todas horas y no, no creo que hagan su trabajo como se debe , de hecho les da mucha pinche hueva andar haciendo su trabajo, se hacen bien guajes...",,
108,07/Nov/2019,21:57:50,@MetroCDMX Esto es otra mentira de los encargados del Transporte para quedar Bien con Claudia Sembaun. Yo vivo otro datos.,,
109,07/Nov/2019,21:58:04,"@juanistofelez @MetroCDMX Ganas no me faltan, ches viejas! Porque son viejas no mujeres!",,
110,07/Nov/2019,22:00:03,"1/7 Anoche en el último metro del día tuvimos que enfrentar la prepotencia de los trabajadores del @MetroCDMX  invadiendo los espacios exclusivos. Antes de que llegara el metro, le informé al único guardia de la estación que el área exclusiva para mujeres estaba llena de hombres. https://t.co/sYkywQKSYO",,
111,07/Nov/2019,22:01:49,"@VILLALVAZO13 @MetroCDMX @HMeridiano @AztecaNoticias @AztecaUno No hay que entrar a las clases de Física, total no voy para 100tifica 🤷‍♂️

- Aquí las consecuencias. 🤦🏻‍♂️",,
112,07/Nov/2019,22:02:01,"@MetroCDMX Mentira!!! No detienen a las bandas d carteristas, al contrario, los van cuidando, personal de vigilancia del stc y pbi!!! Les dan su moche para q los dejen trabajar!!!",,
113,07/Nov/2019,22:02:51,"Ojo aquí @LaSEMOVI @vigimovicdmx @SeMujeresCDMX @GobCDMX, ¿qué pasó con la nueva campaña para promover los espacios seguros para mujeres en el transporte público? ¿Ya ven que los nuevos anuncios sirven de poco (o de nada) si no hay una infraestructura para reforzarlos? https://t.co/RF4hgCwZuW",,
114,07/Nov/2019,22:02:57,Mira @MetroCDMX 🙄 https://t.co/qORYt8cmYB,,
115,07/Nov/2019,22:03:46,@azucenau @MetroCDMX Y como llegó ahí?🤔,,
