,Unnamed: 0,date,hour,tweet,linea,estacion
58,58,14/Nov/2019,19:34:41,"@ColBellavistaAO @solecito08 @MetroCDMX @UCS_GCDMX @SSP_CDMX @vromog @AlcaldiaMHmx Alguna vez pregunté a los ambulantes de Paradero Tacubaya ...que se necesitaba para poner un puesto ahí...!

Me dijeron que dando dinero a la delegación o @AlcaldiaMHmx 

Luego entonces ¿SABEN QUIEN O CUANDO LOS VAN A QUITAR? ¡NUNCAAA!🤬🤬🤬

Si es su MINITA DE ORO  💰💰💰",linea1 ORO ,Tacubaya Tacubaya Tacubaya 
59,59,14/Nov/2019,19:35:30,"@MetroCDMX @FirenzeM entonces si limpiaron el pasillo para los ambulantes ? Aparte ese local lo operan ambulantes y venden de todo , de cuánto sería la mochada para quedarse ? @DenunciasMetro @Dagda2018 @arizpe_javier @FrancoZepeda6 @Dalila_Sarabia @Contralacorru13",,
60,60,14/Nov/2019,19:36:43,"@Transportacio18 @FirenzeM @MetroCDMX @maveruko Tan sólo con ver quién es el firmante del documento, un ignorante del Sindicato Nacional como encargado de una Gerencia!!! Peor aún la dichosa Comisión mixta de Capacitación con gente que nunca estudió y no tiene la menor idea de lo que es Capacitar al trabajador!!!",,
61,61,14/Nov/2019,19:37:36,¿Que pedo con el conductor del convoy R.3768? @MetroCDMX ? Viene frenando bruscamente y ya hasta tuvo que echarse de reversa en pino Suárez... Chale,linea1 ,pino pino 
62,62,14/Nov/2019,19:39:36,@MetroCDMX Rosa...,Rosa ,
63,63,14/Nov/2019,19:40:46,@MetroCDMX 13:38 estación Popotla línea azul tres ambulantes uno tras otro. https://t.co/qok3pYiExo,azul ,
64,64,14/Nov/2019,19:45:00,"🚇🚨
Esta ocurrió en el @MetroCDMX Afortunadamente, un testigo activó la palanca de emergencia y evitó un accidente.

https://t.co/Hnocjb6zue",,
65,65,14/Nov/2019,19:51:21,@MetroCDMX @FirenzeM nos podrían indicar por qué se les permite tener hornos y si están autorizando espacios nuevos como estos? @Claudiashein @DenunciasMetro @Dalila_Sarabia @Dagda2018 @arizpe_javier @FrancoZepeda6 @Contralacorru13 @KillerQ16054101 @lopezobrador_ @ContraloriaCDMX https://t.co/1OubCq5Mx2,,
66,66,14/Nov/2019,19:51:44,@Elfranc72766765 @MetroCDMX @FirenzeM @Claudiashein @DenunciasMetro @Dalila_Sarabia @Dagda2018 @arizpe_javier @FrancoZepeda6 @Contralacorru13 @lopezobrador_ @ContraloriaCDMX Se los dije!! Estación 18 de marzo línea 6 otro de estos... A ver cuantos más aparecen en todo el sistema 😒 https://t.co/zfZRQagDDa,6 ,
67,67,14/Nov/2019,19:52:10,"@MetroCDMX @FirenzeM entonces si limpiaron el pasillo para los ambulantes ? Aparte ese local lo operan ambulantes y venden de todo , de cuánto sería la mochada para quedarse ? @DenunciasMetro @Dagda2018 @arizpe_javier @FrancoZepeda6 @Dalila_Sarabia @Contralacorru13 https://t.co/UOenQens6C",,
68,68,14/Nov/2019,19:53:51,@MetroCDMX ya arreglen las escaleras nmmn,,
69,69,14/Nov/2019,19:55:12,"@MetroCDMX hola, van a cerrar el metro tarde este fin de semana, por lo del #BuenFin ????",,
70,70,14/Nov/2019,19:56:21,"🔵 Luego que se aprobara la gratuidad en el @MetroCDMX para integrantes de Comités Ciudadanos a petición de @HectorBarrera_, nuestro diputado pide a @FirenzeM aplicar a la brevedad esta determinación. https://t.co/HdYRuNnvGs",,
71,71,14/Nov/2019,19:56:55,"🔵 Luego que se aprobara la gratuidad en el @MetroCDMX para integrantes de Comités Ciudadanos a petición de @HectorBarrera_, nuestro diputado pide a @FirenzeM aplicar a la brevedad esta determinación. https://t.co/HdYRuNnvGs",,
72,72,14/Nov/2019,19:59:06,"@MetroCDMX @FirenzeM entonces si limpiaron el pasillo para los ambulantes ? Aparte ese local lo operan ambulantes y venden de todo , de cuánto sería la mochada para quedarse ? @DenunciasMetro @Dagda2018 @arizpe_javier @FrancoZepeda6 @Dalila_Sarabia @Contralacorru13 https://t.co/UOenQens6C",,
73,73,14/Nov/2019,20:00:05,"@MetroCDMX @FirenzeM entonces si limpiaron el pasillo para los ambulantes ? Aparte ese local lo operan ambulantes y venden de todo , de cuánto sería la mochada para quedarse ? @DenunciasMetro @Dagda2018 @arizpe_javier @FrancoZepeda6 @Dalila_Sarabia @Contralacorru13 https://t.co/UOenQens6C",,
74,74,14/Nov/2019,20:01:03,@Elfranc72766765 @MetroCDMX @FirenzeM @DenunciasMetro @Dagda2018 @arizpe_javier @FrancoZepeda6 @Dalila_Sarabia @Contralacorru13 A de ser de alguien corrupto que compra a la famosa cuarta transformación,,
75,75,14/Nov/2019,20:01:21,"@andreslajous @Claudiashein @LaSEMOVI 
Si al transporte público que beneficie la zona y a los habitantes de la misma, y no solo a la población flotante que no vive ahí y no sufrirá de los estragos diariamente. 
#NoMetrobusXoco",,
76,76,14/Nov/2019,20:01:34,"[#JeudiPhoto] Il y a 21 ans, le président Jacques Chirac a inauguré l’accès Guimard de la station Bella Artes à Mexico offert par #RATPGroup. Ce don a été fait pour célébrer 30 ans de coopération entre le métro mexicain, @MetroCDMX, et la #RATP sous la forme d'un échange d'art. https://t.co/v8RngMi72o",linea2 ,Artes Artes 
77,77,14/Nov/2019,20:02:43,"El @MetroCDMX tiene estas opciones para tí. ⬇️⬇️
.
.
#zapata #cuatrocaminos #ermita 
.
#SomosDifusiónka #culturaenelmetro #SomosDigitales https://t.co/iFOs7HfihI",linea2 ,ermita zapata zapata ermita 
78,78,14/Nov/2019,20:03:37,"@MetroCDMX @FirenzeM entonces si limpiaron el pasillo para los ambulantes ? Aparte ese local lo operan ambulantes y venden de todo , de cuánto sería la mochada para quedarse ? @DenunciasMetro @Dagda2018 @arizpe_javier @FrancoZepeda6 @Dalila_Sarabia @Contralacorru13 https://t.co/UOenQens6C",,
79,79,14/Nov/2019,20:04:20,"@MetroCDMX @FirenzeM entonces si limpiaron el pasillo para los ambulantes ? Aparte ese local lo operan ambulantes y venden de todo , de cuánto sería la mochada para quedarse ? @DenunciasMetro @Dagda2018 @arizpe_javier @FrancoZepeda6 @Dalila_Sarabia @Contralacorru13 https://t.co/UOenQens6C",,
80,80,14/Nov/2019,20:07:48,"Esto es lo que pasa en el INCADE, los negocios de @FirenzeM y NAHUM LEAL contratan gente externa que no tienen ni idea de lo que es el @metrocdmx ni de como se trabaja, el fin es llenarse los bolsillos a costa de lo que sea. Por eso hay tantas fallas. Chequen esto 👀 @maveruko https://t.co/XzAAJTcS3w",,
81,81,14/Nov/2019,20:08:27,@diario24horas A multarlo @MetroCDMX ojalá lo hayan remitido al juzgado cívico.,,
82,82,14/Nov/2019,20:12:41,"@MetroCDMX oigan, mega llamada de atención al conductor del N2100 de la Línea 2 dirección a Cuatro Caminos, igual el tren delante de él. Apenas llegan a la estación no dan el tiempo necesario para que bajen ni para que suban. Aplastaron con las puertas a 2 personas. Gracias 😕",2 2 ,Cuatro Caminos 
83,83,14/Nov/2019,20:15:58,@MetroCDMX 13:38 estación Popotla línea azul tres ambulantes uno tras otro. https://t.co/qok3pYiExo,azul ,
84,84,14/Nov/2019,20:16:23,"La #PGJCDMX, a través de la FIPEDE, logró localizar sano y salvo, en la estación Taxqueña de la Línea 2 del @MetroCDMX, a un joven que se extravió cuando viajaba de #Querétaro a #Oaxaca https://t.co/rRt8MdEU7k",2 ,
85,85,14/Nov/2019,20:20:59,@MetroCDMX @jose60853944 Pero siempre están ligando o con su celular. En ocasiones hasta saludan a los ambulantes.,,
86,86,14/Nov/2019,20:21:44,@MetroCDMX @jose60853944 Si aha!,,
87,87,14/Nov/2019,20:22:35,"No es desde Xochitl, desde antes. El punto es que ninguno cierra es caja de dinero llena de corrupción. Hoy @vromog goza de eso (oooootra vez)",,
88,88,14/Nov/2019,20:24:31,"[#JeudiPhoto] Il y a 21 ans, le président Jacques Chirac a inauguré l’accès Guimard de la station Bella Artes à Mexico offert par #RATPGroup. Ce don a été fait pour célébrer 30 ans de coopération entre le métro mexicain, @MetroCDMX, et la #RATP sous la forme d'un échange d'art. https://t.co/v8RngMi72o",linea2 ,Artes Artes 
89,89,14/Nov/2019,20:24:45,Que pasó @MetroCDMX? El conductor del convoy R3142 viene bien lento,,
90,90,14/Nov/2019,20:30:00,"Estación #Candelaria de la #L4 del @MetroCDMX ya fue abierta 

#MásDetalles aquí 

https://t.co/GzRH7WHYye https://t.co/obs6KdftDx",linea1 L4 ,Candelaria Candelaria 
91,91,14/Nov/2019,20:33:55,Gracias @SSP_CDMX por ser los primeros en poner el ejemplo y tirar toda su basura en el piso del @MetroCDMX.,,
92,92,14/Nov/2019,20:35:20,"Estación #Candelaria de la #L4 del @MetroCDMX ya fue abierta 

#MásDetalles aquí 

https://t.co/GzRH7WHYye https://t.co/obs6KdftDx",linea1 L4 ,Candelaria Candelaria 
93,93,14/Nov/2019,20:35:27,Un hombre intento salir por la ventana del @MetroCDMX en la estación Tacubaya lo que provocó retrasos en la Linea 1 👉 https://t.co/HKVbWWBoPC https://t.co/Z78XYCIgzp,1 ,Tacubaya Tacubaya Tacubaya 
94,94,14/Nov/2019,20:39:43,"@MetroCDMX @Anglica93750660 Metro es broma, pero siguen vendedores ambulantes en los vagones de líneas 1, 3, 5 y 9, donde están nuestros derechos de viajar, sin ruidos escandalosos, interrimpirnos, incomodarnos, no es un centro comercial los vagones, es molesto e incomodo",1 3 5 9 ,derechos centro centro 
95,95,14/Nov/2019,20:42:41,@MetroCDMX ¿Qué están haciendo para mejorar la eficiencia todos van llenos? @MetroCDMX #IoT,,
96,96,14/Nov/2019,20:47:19,"Llevamos acabo un convenio con NYCTA para exportar lo único que funciona bien en el @MetroCDMX 

 https://t.co/p6dcwSfg0m",,
97,97,14/Nov/2019,20:48:34,.@MetroCDMX tus instalaciones sirven para que se vengan drogando en el vagón; es insoportable el olor,,
98,98,14/Nov/2019,20:50:32,"Mira @Dalila_Sarabia que hacemos con tanto engaño, con tantas intenciones de tomarnos el pelo. @FirenzeM @Claudiashein https://t.co/tAoOGwaSzH",,
99,99,14/Nov/2019,20:50:59,@MetroCDMX @neoYaotecatl Línea 2 y 3,2 3 ,
100,100,14/Nov/2019,20:51:39,@C5_CDMX @MetroCDMX Afuera del metro revenden boletos mismas personas de las zonas de los puestos,,
101,101,14/Nov/2019,20:51:53,"@MetroCDMX @jose60853944 Dejenlos en paz, solo estan tranajando",lineaA ,paz 
102,102,14/Nov/2019,20:54:36,Así todos los días en el @MetroCDMX https://t.co/N8JeWGgMoY,,
103,103,14/Nov/2019,20:56:14,"¿Recuerdas cuando te uniste a Twitter? ¡Yo sí! Y he descubierto que Twitter es un gran lugar para contar chistes, anécdotas y refrescársela al @MetroCDMX cada que se pueda😊😊 #MiAniversarioDeTwitter https://t.co/c7JsPloqes",,
104,104,14/Nov/2019,20:58:26,"""Calaveras y Diablitos"" en la radio del @MetroCDMX 😍😍😍😍",,
105,105,14/Nov/2019,20:58:53,@Elfranc72766765 @MetroCDMX @FirenzeM @DenunciasMetro @Dagda2018 @arizpe_javier @FrancoZepeda6 @Dalila_Sarabia @Contralacorru13 A de ser de alguien corrupto que compra a la famosa cuarta transformación,,
